User ID,Ad ID,Click,Reward,Alpha,Beta,Reward Mean,Reward Std
ac6662c9-3309-4410-84ff-fe39da86c9ec,3,1,3.016102624736778,11.0,6.0,2.7073067254716614,1.8971398354281719
083bb892-83c2-46dc-9c68-47f902d51505,3,1,5.377953522755529,12.0,6.0,2.9500927979520126,1.965043465182759
6db53286-126f-4201-a22d-e506b2e2cd47,3,1,4.425545541173243,13.0,6.0,3.0730471932204484,1.9250736223653293
21505052-e8b3-47de-b7f7-09c4a9b6043a,2,0,0,2.0,14.0,0.09253112489725882,0.5151914996555315
be585d7f-a8c5-49a1-8d67-ce51dc1b0bc9,2,0,0,2.0,15.0,0.04626556244862941,0.3672215175168059
4b33db3b-df23-4e74-aaf5-ec9b3c2b15f7,2,0,0,2.0,16.0,0.023132781224314704,0.2606932048037403
9de1a3f4-b8a3-43fc-bafe-886a1f7c5aa9,2,0,0,2.0,17.0,0.011566390612157352,0.18470044641856026
46a7ce04-b9d4-4a85-a7eb-3c73bfa5a778,2,1,3.0571452010022306,3.0,17.0,1.534355795807194,1.5283797630261469
f0f1be03-32cb-4744-b98a-03e7b28e94bf,1,1,4.884342353704139,2.0,1.0,4.884342353704139,0.0
1d2dfbba-1aca-409d-a652-c40adb933592,1,1,5.682284956788858,3.0,1.0,5.2833136552464985,0.3989713015423595
e12fe7cb-038d-485e-85bf-f2204e63361c,1,1,4.873540411934397,4.0,1.0,5.146722574142465,0.37872546764634196
2d867ac1-ad73-43f9-839e-fa37cd49c8d9,1,1,5.144584609457689,5.0,1.0,5.14618808297127,0.32798718256265985
a9becca6-d414-4252-90dd-27e06f950e4b,1,1,5.799652621324487,6.0,1.0,5.276880990641914,0.3929160444699891
e37ff0de-f7bd-4693-bbcf-e6268eaf6145,1,0,0,6.0,2.0,4.397400825534928,1.999019589469966
1c0dfe7b-d47a-45cb-b2e3-a8e23da51e45,1,1,4.660267315416614,7.0,2.0,4.441211907181875,1.8274745288546717
969c5225-b57a-442e-960c-6fc7c5084498,1,0,0,7.0,3.0,3.8067530632987503,2.2973455475551128
a623ed8d-fa28-491a-b6c2-8e6e67bf74ad,2,0,0,3.0,18.0,1.0229038638714627,1.4423808872994763
89543e91-32da-4f1e-a1fa-da0274916c53,2,1,2.9603370164002043,4.0,18.0,1.6687149147143767,1.4903418767113608
386e2042-4f9b-488a-bd6b-1eb54c8824bc,2,0,0,4.0,19.0,1.2515361860357825,1.47917323430872
45b84a24-90e4-409e-8018-8d8d116a6341,2,0,0,4.0,20.0,0.9386521395268369,1.3909185355371916
6579cf20-b782-4139-8eec-28a0e40d25d9,2,0,0,4.0,21.0,0.7039891046451277,1.2712950087196035
7653e91a-9671-4cca-8950-8832ecc99a90,2,0,0,4.0,22.0,0.5279918284838457,1.142395891556471
b974b126-2eb2-48d7-9a09-8e8c677983df,2,0,0,4.0,23.0,0.39599387136288433,1.015416989140988
863f3c1f-4010-418b-928c-bc571ad18c41,2,1,2.9823842342567337,5.0,23.0,1.0425914620863468,1.423927343429176
36f41891-f6f4-4e35-ac78-188ea5b85579,2,1,2.95940925948909,6.0,23.0,1.4259550215668955,1.4865818976573746
adf986c6-b477-46e2-ade4-96bbd0d0c626,2,0,0,6.0,24.0,1.1882958513057462,1.4573998037880993
40474335-3da9-4f91-b638-8feab2eb3169,2,0,0,6.0,25.0,0.9902465427547885,1.4021873863677734
be76f5a5-9999-4e82-a5cb-f3ebcf9ae5cf,2,0,0,6.0,26.0,0.825205452295657,1.332153906188684
af8dc239-2cac-4b03-8091-3b483e7ea357,2,0,0,6.0,27.0,0.6876712102463808,1.2543683789694657
0e40b605-1625-489d-bdb0-68b090f4197d,2,1,3.121089182573336,7.0,27.0,1.0932408723008733,1.4606963336118317
48c85faa-f17c-480b-984c-a3175297d2e7,2,1,2.9408877614625375,8.0,27.0,1.3571904278953968,1.4989480180590098
d7fdc27b-e32b-4aa7-b924-bf8b1b99d4b7,2,1,2.9853580662772905,9.0,27.0,1.5607113826931336,1.5019770201404985
bed10115-72b8-47eb-897b-00ea0507bf25,2,0,0,9.0,28.0,1.387299006838341,1.4986161432547076
a0b91360-33b3-449f-a65f-b663c0046329,2,0,0,9.0,29.0,1.233154672745192,1.4786464159781925
53bfeff5-68f1-4294-8880-c3f8c2631df1,2,0,0,9.0,30.0,1.0961374868846152,1.4469457815152948
a371288b-fea5-4cc3-a9ce-03391014705d,2,0,0,9.0,31.0,0.9743444327863247,1.4070154470870317
57ee1d9d-e314-49c8-97cb-1e04594035c4,1,1,5.065831450391256,8.0,3.0,3.986621404311965,2.172082260787013
555a223f-cc23-4126-ab8f-f5689408e1d9,1,0,0,8.0,4.0,3.4882937287729696,2.422088351945302
29af1b12-c8b2-4f50-b292-a155d9b7f225,1,0,0,8.0,5.0,3.0522570126763484,2.5424582810816676
1329be64-4883-4d4b-84b3-8a225b95cbe4,1,0,0,8.0,6.0,2.6707248860918047,2.5836117534323
fada5bbc-4d1f-42a4-ae41-0e6ae1c427b4,1,0,0,8.0,7.0,2.336884275330329,2.5730945094709403
2904fe44-214b-4d91-943b-df8d952680b3,1,0,0,8.0,8.0,2.044773740914038,2.5279464760066834
71526212-cfee-4c34-ac5a-9a337f85249b,1,0,0,8.0,9.0,1.789177023299783,2.4594729083172577
2a7ba842-2a09-42d0-84a1-dd1cba263b37,1,0,0,8.0,10.0,1.5655298953873102,2.3755015003505506
ff32121b-ebf6-4a77-9f57-3dbcca0cfc09,1,0,0,8.0,11.0,1.3698386584638964,2.2815996312580924
6af8de8b-3710-4887-8533-c51f3c0c7cf4,1,0,0,8.0,12.0,1.1986088261559094,2.1817933806831893
a883b0f5-06c1-4cf9-9107-8832740f1c94,1,0,0,8.0,13.0,1.0487827228864206,2.0790213058168243
168a5068-b0b5-4fc7-9ab1-e5f91dd93403,1,1,5.053864885259562,9.0,13.0,1.5494179931830634,2.352974311024284
ad98f60b-4809-471b-bc77-4406810b9fca,1,0,0,9.0,14.0,1.3772604383849452,2.2712174163566123
62462a42-ed8d-44b9-9eda-d7db02e238aa,1,1,4.506276018392849,10.0,14.0,1.724928836163601,2.3563226313120302
06fbfa31-7abc-44ef-aa0c-41e29d262650,1,0,0,10.0,15.0,1.5524359525472409,2.2945184380681076
058b5c9c-908d-49d4-867e-66d3ecef64c2,1,1,5.908021728319869,11.0,15.0,1.9879945301245037,2.538845179777848
45314f13-0dde-4249-822d-9be47b8cd186,1,1,5.678325598583304,12.0,15.0,2.3234791727116675,2.6429639433462886
ae6b9e27-7ea0-4be0-b018-e0c26c233f17,1,1,4.90368188649049,13.0,15.0,2.5384960655265694,2.6290128270568993
